"Story","Title","Result","Date","Stability","Duration (s)"
"User curd test","creating user ","SUCCESS","2022-06-05T19:15:27.732+01:00[Europe/London]","0.0","3.14"
"User curd test","getSinger user  ","FAILURE","2022-06-05T19:15:30.893+01:00[Europe/London]","0.0","0.2"
"User curd test","update user","SUCCESS","2022-06-05T19:15:31.117+01:00[Europe/London]","0.0","0.24"
"User curd test","Delete user ","SUCCESS","2022-06-05T19:15:31.363+01:00[Europe/London]","0.0","0.32"
